"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"8/3/2026","8/3/2026","8/5/2026","AAPL","Apple
CUSIP: 037833100
Market Buy","Buy","10","$205.12","($2,051.20)"
"8/5/2026","8/5/2026","8/7/2026","MSFT","Microsoft
CUSIP: 594918104
Market Buy","Buy","4","$521.35","($2,085.40)"
"8/7/2026","8/7/2026","8/11/2026","NVDA","NVIDIA
CUSIP: 67066G104
Market Buy","Buy","6","$184.40","($1,106.40)"
"8/10/2026","8/10/2026","8/12/2026","AAPL","Apple
CUSIP: 037833100
Additional Purchase","Buy","5","$211.80","($1,059.00)"
"8/12/2026","8/12/2026","8/14/2026","AAPL","Apple
CUSIP: 037833100
Partial Sale","Sell","6","$216.25","$1,297.50"
"8/14/2026","8/14/2026","8/18/2026","NVDA","NVIDIA
CUSIP: 67066G104
Partial Sale","Sell","2","$190.75","$381.50"
"8/17/2026","8/17/2026","8/19/2026","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Fractional Purchase","Buy","1.375","$626.40","($861.30)"
"8/18/2026","8/18/2026","8/18/2026","MSFT","Cash Div: R/D 2026-08-20 P/D 2026-09-10 - 4 shares at 0.83","CDIV","","","$3.32"
"8/19/2026","8/19/2026","8/21/2026","MSFT","Microsoft
CUSIP: 594918104
Partial Sale","Sell","1","$529.10","$529.10"
"8/20/2026","8/20/2026","8/24/2026","AAPL","Apple
CUSIP: 037833100
Final Sale","Sell","9","$219.60","$1,976.40"
"8/21/2026","8/21/2026","8/25/2026","NVDA","NVIDIA
CUSIP: 67066G104
Additional Purchase","Buy","3","$187.20","($561.60)"
"8/24/2026","8/24/2026","8/26/2026","NVDA","NVIDIA
CUSIP: 67066G104
Final Sale","Sell","7","$194.35","$1,360.45"
"8/25/2026","8/25/2026","8/27/2026","MSFT","Microsoft
CUSIP: 594918104
Final Sale","Sell","3","$533.25","$1,599.75"
"8/26/2026","8/26/2026","8/28/2026","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Fractional Sale","Sell","0.500","$632.10","$316.05"
"8/27/2026","8/27/2026","8/27/2026","","ACH Deposit","ACH","","","$1,500.00"
"8/28/2026","8/28/2026","8/28/2026","","Robinhood Gold Payment","GOLD","","","($5.00)"
"8/28/2026","8/28/2026","8/28/2026","AAPL","Stock Split Adjustment Example","SPL","","",""
